BSLD_pop,0.0125,-7.8e-5,-0.0118,-0.00105,-1.45e-5,0.000843,-0.0228,0.000214
d_pop,-7.8e-5,8.91e-6,0.000473,1.79e-5,-2.74e-6,0.000105,0.00036,-4.95e-6
g_pop,-0.0118,0.000473,0.0675,0.00431,2.48e-5,-0.00158,0.109,-0.00134
omega_BSLD,-0.00105,1.79e-5,0.00431,0.00624,1.42e-5,-0.000727,0.00951,-0.000107
omega_d,-1.45e-5,-2.74e-6,2.48e-5,1.42e-5,1.18e-5,-0.000287,0.00106,6.49e-8
omega_g,0.000843,0.000105,-0.00158,-0.000727,-0.000287,0.0124,-0.0368,-0.000335
a,-0.0228,0.00036,0.109,0.00951,0.00106,-0.0368,1.37,-0.0184
b,0.000214,-4.95e-6,-0.00134,-0.000107,6.49e-8,-0.000335,-0.0184,0.000679
