parameter,value,se_sa,rse_sa
BSLD_pop,54.2583062986485,10.7754315887132,19.8595059886372
beta_BSLD_BLIVER_TRUE,0.452880271406915,0.232632493530825,51.3673277946354
d_pop,0.0040335576684844,1.29796430405086e-5,0.321791433451492
g_pop,0.00167721916455928,1.33771804554419e-5,0.797580944584366
phi_pop,0.396418259755129,1.05008636977792,264.893542095302
omega_BSLD,0.639191705194144,0.0793414362059402,12.4127762549487
omega_d,0.00125399348991413,0.00084193821946948,67.1405574463657
omega_g,0.00235279919577293,0.00661006138925377,280.944561742859
omega_phi,0.644019076019396,2.15144733191014,334.065777244981
a,0.218028729595862,0.0390996485846538,17.9332552444482
