id,beta,delta,p,group
1,39.9065186718121,0.1549583439243702,0.010488832332143,simulationGroup1
2,66.1102814197584,0.1104694634025224,0.0031521195888686,simulationGroup1
3,25.2541660344618,0.2047637214603963,0.0319728284187225,simulationGroup1
4,143.101379495636,0.0707228500998758,0.0005036691827741,simulationGroup1
5,20.6348034920656,0.2315541281749375,0.0595627978738617,simulationGroup1
6,33.9581729900295,0.1680585792742,0.0123652710940868,simulationGroup1
7,40.9261469612099,0.1574681930278699,0.0121873636414653,simulationGroup1
8,41.4757708876063,0.1466851386976574,0.0101159114495115,simulationGroup1
9,3.24947830453702,0.6745552432905835,4.50597479503913,simulationGroup1
10,13.9437694132778,0.2933181941252101,0.1626946022840042,simulationGroup1
11,37.7887217950579,0.1536090943335417,0.0146135201651076,simulationGroup1
12,63.8615737718393,0.1158883579735223,0.0040542534657252,simulationGroup1
13,30.4873242460528,0.1828137317682348,0.0238219700196125,simulationGroup1
