id,time
2,5
2,8.03289
2,14.03333
2,16.0402
2,17.9915
2,19.0038
2,19.9625
2,20.9922
3,5
3,16.0296
3,17.0267
3,18.0373
3,19.069
3,20.0275
3,21.0223
3,22.0354
3,23.0497
3,24.0455
3,25.0765
3,25.9633
3,27.0843
3,28.027
4,5
4,9.04552
4,13.12319
4,16.0594
4,18.0711
4,20.0258
6,5
6,8.010770000000001
6,8.986359999999999
6,11.06446
6,12.99812
6,14.01009
6,16.0348
6,17.01
6,18.0231
6,19.0162
6,19.9924
6,20.951
6,22.0364
6,22.9568
6,24.0064
7,5
7,6.07751
7,7.97794
7,8.956340000000001
7,13.02978
7,13.9689
8,5
8,8.01858
8,9.01581
8,10.97405
8,12.00736
8,13.05676
8,14.03551
8,15.033
8,16.1015
8,17.0077
8,18.0593
8,19.0193
8,20.0897
8,21.0494
8,22.0107
8,23.0251
8,24.0922
8,25.0176
8,26.0326
8,27.0462
9,5
9,11.04023
9,11.96183
9,12.9738
9,14.0589
9,16.0099
9,17.005
9,18.0535
9,19.9334
9,20.9645
9,22.0474
9,22.9704
9,23.9465
9,25.0127
9,25.9157
9,26.9828
9,27.9586
9,28.9893
9,29.9828
9,30.9777
9,31.937
9,33.0016
11,5
11,7.04796
11,7.96986
11,9.976660000000001
11,10.99075
11,12.0043
11,13.05456
11,14.98934
12,5
12,9.005369999999999
12,10.01946
12,10.99864
12,12.01289
12,13.06364
12,13.98829
12,15.0207
12,16.0537
12,16.9948
12,18.0837
12,19.0065
14,5
14,7.02208
14,8.03523
14,8.974320000000001
14,9.98746
14,11.01761
14,12.02972
14,14.0538
14,14.97493
14,15.9873
14,17.0165
14,17.9938
14,18.988
14,19.9449
14,20.9753
14,21.9875
14,23.994
16,5
16,11.95596
16,13.98514
16,14.96432
16,15.9938
16,16.9167
16,18.0019
16,19.0334
17,5
17,6.06615
17,7.04542
17,8.02356
17,9.039059999999999
17,10.10733
17,11.06895
17,13.0986
17,14.04135
17,15.0535
18,5
18,7.01918
18,7.96272
18,8.97716
18,10.02937
18,11.02404
18,12.999
18,13.97677
18,15.0284
18,16.0432
18,17.0195
18,18.0551
18,18.9612
18,20.012
18,21.0625
18,22.0038
18,24.0345
18,25.9733
18,27.0598
18,28.0215
18,29.0532
18,30.0518
18,31.0287
