rep,id,beta,delta,p
1,2,47.2708644200059,0.144300851824659,0.00847804661699953
2,2,102.216196501855,0.0841141693501166,0.00111793649345611
3,2,9.1402067979109,0.377079301349668,0.448104941375901
4,2,76.5372104640785,0.10713409233216,0.00271080439572616
5,2,56.6063870148281,0.125655448500555,0.00546686831139778
6,2,137.249263659297,0.0767594697375246,0.000695918657289951
7,2,99.5795640390526,0.0920774624714363,0.00167147291657937
8,2,187.020450206758,0.0622195209699345,0.000319113028673539
9,2,107.258058728509,0.0822767075926768,0.000911134231449888
10,2,26.6444484940027,0.194286877576405,0.0320590843035229
1,3,21.8641876039698,0.225323114849045,0.055822907694968
2,3,28.4359146841561,0.192223316165458,0.0237595221595172
3,3,21.3113930576575,0.2280188049762,0.0471984859225074
4,3,18.207594511535,0.249650996522194,0.0777187940337655
5,3,8.52035490640197,0.366858634501828,0.375604959320095
6,3,11.8877248538432,0.320163655241496,0.212713018349328
7,3,10.0283685230554,0.362577443507692,0.318378379622472
8,3,14.5303304864977,0.283638615053799,0.15162717882902
9,3,26.7880234354028,0.184324121993997,0.0276919852085309
10,3,14.6797189497129,0.269541106520333,0.150279329773633
1,4,48.0169015947704,0.138489472635945,0.00793712093930173
2,4,27.8179994825365,0.190218853557556,0.0274409055041695
3,4,34.6745979363031,0.171677153022667,0.0172305625490077
4,4,16.7092429279404,0.25635090790415,0.0918695140536998
5,4,41.7820043572093,0.156721703258012,0.0113425703902521
6,4,121.789567189546,0.0796683668726694,0.000881773558643453
7,4,122.419171281734,0.079727392043983,0.000844349489420364
8,4,34.4201535493261,0.172215840703313,0.0216847313947177
9,4,31.8082649663948,0.176109407544503,0.0218974413824252
10,4,48.7755114481802,0.138432011719205,0.0073359862798587
1,6,7.04780113050475,0.445035725641799,0.884691805756179
2,6,9.09893043854024,0.383849156756431,0.527587684169498
3,6,9.64686990381372,0.354711988216292,0.33685373743551
4,6,30.2958017003567,0.176179845831305,0.0259295223444906
5,6,9.73748901687034,0.347209943818159,0.326714915633541
6,6,22.8937731991412,0.211622278058045,0.0434279750965021
7,6,8.42295411376291,0.384584775546255,0.594731011551768
8,6,9.42272947453493,0.360225668733527,0.409918376105375
9,6,15.7646612912894,0.25651439735329,0.113413829372691
10,6,17.7929720918612,0.254156364092395,0.0815735949212032
1,7,248.858155511715,0.0556685808084795,0.000169322439001683
2,7,185.393271129267,0.0636852783638894,0.000332913979772539
3,7,66.0996565959509,0.121248912376047,0.00376587682073011
4,7,100.459409164716,0.0924430581165692,0.00140331255474863
5,7,180.869963831243,0.0687874372386572,0.000390994991713139
6,7,135.414969396862,0.0742451484679051,0.00057465558906613
7,7,175.838676324061,0.064402087774558,0.000328137696720299
8,7,229.582724805043,0.0551890985371952,0.000186565285977573
9,7,187.476104503789,0.0632617372157178,0.000286842133330816
10,7,154.908311068377,0.0682589790692771,0.000441736778786783
1,8,59.4428831976031,0.126512235062072,0.00415067604992443
2,8,68.272357408211,0.117473659353686,0.00416982270997057
3,8,39.9318444551449,0.147137959553649,0.00923854328946783
4,8,71.4414398924708,0.1157016864301,0.00299329784834578
5,8,48.1457575654029,0.13627868434241,0.00610634409369747
6,8,21.2525810204778,0.220503473788747,0.0526547852773672
7,8,32.2694009245385,0.174759634865509,0.0209191407619224
8,8,79.2239840081272,0.108726622987286,0.00262454390462078
9,8,76.4097710437983,0.111466221950098,0.00287698172134242
10,8,13.8569471566825,0.306029334089842,0.174695999184075
1,9,53.9330334467653,0.12684861340215,0.00496654966774581
2,9,24.9571227661436,0.201701145912602,0.0314190122942553
3,9,23.399640258543,0.210188543559743,0.038594736962049
4,9,32.3086287713449,0.180754899391331,0.0184137106213689
5,9,67.2847386573438,0.119845165658917,0.00385388874378309
6,9,51.5829065467199,0.133978788931969,0.00638889960603892
7,9,38.9912501779138,0.15552283373738,0.0120878773804182
8,9,71.5901984967175,0.110420011609367,0.00312080797991843
9,9,34.9523251275776,0.166740269200247,0.0159154825605855
10,9,63.371464170484,0.11801124230513,0.00333610166968395
1,11,40.0828633380758,0.147924919634807,0.0102115178466049
2,11,34.205997728758,0.168618409010421,0.0183184848209225
3,11,38.0865480667609,0.158389750062136,0.0124502644093288
4,11,36.6195084429528,0.159536158521869,0.0145166038284855
5,11,23.1252017372665,0.220762776999119,0.049822140642564
6,11,46.2589070710073,0.151199757529964,0.00990316761352164
7,11,14.0112439285315,0.300480211594591,0.158983805286344
8,11,39.5831295793745,0.152099570611513,0.0118238935282907
9,11,37.5080299917541,0.169638459298168,0.0137776093599122
10,11,22.0430615317901,0.223265651361814,0.0466036168895949
1,12,17.6337735269513,0.25506961119472,0.111235697988672
2,12,62.885207452503,0.118344114646923,0.00356888491150674
3,12,100.449291932022,0.0902275200546765,0.00134546474666044
4,12,16.4898874244997,0.26449857076198,0.0903629849042371
5,12,87.9643466706687,0.101193875094267,0.0019695852114414
6,12,47.2799368396111,0.137413463215307,0.00714892861657449
7,12,10.4639446231379,0.330723940238861,0.315192755987557
8,12,73.6520689254684,0.106674378420476,0.00243541634427455
9,12,29.8209616826781,0.178987524935128,0.0225319927268403
10,12,14.1224310843498,0.280106232172464,0.149769823548406
1,14,12.9233795836044,0.291493762415365,0.173191749458971
2,14,6.82133112258566,0.440481727834881,0.816532579132039
3,14,9.60081157814397,0.356843448622939,0.340852533878916
4,14,7.32899733620951,0.412672371138221,0.630628180254071
5,14,31.6870714468954,0.178049916384244,0.0207496297679727
6,14,7.03301212660048,0.429406769963548,0.7713447523434
7,14,4.87397429540666,0.518397289326741,1.92629626207134
8,14,9.42630081494769,0.350381891967641,0.37037702236327
9,14,9.74165001819739,0.355187016120382,0.318550827818965
10,14,6.83947821184208,0.471767373958884,1.08005663324282
1,16,11.8683729717939,0.290697339452571,0.164261883472438
2,16,19.7425221123683,0.231623240517228,0.0621399288902135
3,16,54.270733487781,0.12978183611199,0.00548781580507529
4,16,74.2668621414639,0.102602560477817,0.0025163832653378
5,16,27.9925050855622,0.193870724659499,0.0306391485519808
6,16,24.8190312752233,0.204779580964902,0.0429725992698178
7,16,17.1031165378923,0.249944889963538,0.0856316446075351
8,16,46.7145303428946,0.145360321183712,0.00842763693184987
9,16,53.0457581211412,0.132701777213807,0.00615094028468238
10,16,50.5716868674565,0.134138514714542,0.00636884074522942
1,17,53.2917909090481,0.13290853556387,0.00526977338630483
2,17,40.0076666937667,0.154698215731329,0.0101064203663591
3,17,40.071043111209,0.152002866271291,0.0115576059777314
4,17,18.9550745961094,0.26061526008801,0.0844759912388159
5,17,40.513488582981,0.152150432149909,0.0124249337482251
6,17,47.6345990369236,0.150359473841231,0.0102831159427638
7,17,53.8148781537457,0.126562710615791,0.00541425092820707
8,17,29.9250255442939,0.184333799244187,0.0255148735625037
9,17,76.8039716527274,0.104743261610094,0.00242076576196754
10,17,75.9665232229372,0.106310331539397,0.00251877236550156
1,18,14.1396616389335,0.28005934269599,0.13532637320236
2,18,9.24650477840372,0.347387787927675,0.337615266012613
3,18,15.3345118768817,0.283033370565227,0.122037605450727
4,18,15.7137870117007,0.262132872555968,0.12333173116279
5,18,17.9578138931444,0.249645977672792,0.0822540662447959
6,18,24.0163767828954,0.197603478716979,0.0349861204674182
7,18,13.2567349316056,0.309528295192655,0.175677068299377
8,18,8.88296623213197,0.379212810922005,0.504127616933396
9,18,8.68238437166504,0.387403427679852,0.548965825703277
10,18,28.6385405554436,0.190985079403014,0.026454398675196
