rep,id,eta_beta,eta_delta,eta_p
5,16,-0.132179886004706,0.0906502251935269,0.411041815433943
6,16,-0.252505935825139,0.145392841861331,0.749325946016435
7,16,-0.624855984252447,0.344699109402296,1.43881815454859
8,16,0.37993857369349,-0.19732571035388,-0.879720324067652
9,16,0.507038217014043,-0.288437010046151,-1.19463177832892
10,16,0.459275186781204,-0.277668386054703,-1.15981927387655
1,17,0.511665617761422,-0.286880154894989,-1.34924937935132
2,17,0.224954418259477,-0.13506512023523,-0.698065838552956
3,17,0.226537271700267,-0.152641966297149,-0.563892993833785
4,17,-0.522045000440452,0.386503876476188,1.42523062636115
5,17,0.237518285262018,-0.151671627386064,-0.491531500445185
6,17,0.399442682885755,-0.163512424650486,-0.680733418906829
7,17,0.521433289711917,-0.335803422589361,-1.32220220213584
8,17,-0.0654215797786255,0.0402068963827501,0.22802481880656
9,17,0.877139668211924,-0.525029115585101,-2.12715281959876
10,17,0.866176074503287,-0.510178871108252,-2.08746511400183
1,18,-0.815132954004743,0.458460174899885,1.896452699793
2,18,-1.2398710665104,0.673900356405453,2.81067024065226
3,18,-0.734010718429741,0.469023463869567,1.79309249835717
4,18,-0.70957820421832,0.392310178352022,1.80364098603495
5,18,-0.576091350239012,0.343502480937778,1.39857608577132
6,18,-0.28538072123666,0.109721045988216,0.543714684486841
7,18,-0.879610964814625,0.558508166202581,2.15741073017183
8,18,-1.27998114845603,0.761556209873614,3.21159270394191
9,18,-1.30282049668646,0.782925254828908,3.29679945102955
10,18,-0.109363302298409,0.0756539626728085,0.26418570571858
