parameter,value,se_sa,rse_sa
BSLD_pop,61.4189561010841,5.59186461760909,9.10446053235736
d_pop,0.00148056544482486,0.000514670871789306,34.7617779131801
g_pop,0.00107003461729797,0.000249044564256617,23.2744399321864
omega_BSLD,0.636457715108081,0.0645945436828534,10.14907073157
omega_d,1.47348845754259,0.265805429596436,18.039193197328
omega_g,1.14083629795609,0.180492044742805,15.8210292805526
a,0.419156991447884,0.123679931913865,29.5068278562265
b,0.023383113517363,0.00454033061567363,19.417134558673
